1	377	1794
2	1794	17845
4	17845	45257
5	45257	55871
6	55871	68941
5	68941	76166
4	76166	77822
5	77822	115824
4	115824	167209
2	167209	307737
3	307737	311662
6	311662	346077
7	346077	415038
6	415038	428408
5	428408	451683
6	451683	456464
4	456464	456934
3	456934	529118
4	529118	554340
6	554340	569355
7	569355	623339
6	623339	646613
5	646613	696231
3	696231	702445
4	702445	733174
3	733174	742429
5	742429	744068
6	744068	755964
7	755964	758311
6	758311	769619
5	769619	789326
4	789326	799636
3	799636	902141
4	902141	903171
3	903171	988150
2	988150	1008567
1	1008567	1020714
2	1020714	1049928
1	1049928	1083805
2	1083805	1142956
3	1142956	1147823
2	1147823	1182378
3	1182378	1189183
4	1189183	1213473
5	1213473	1214136
6	1214136	1215179
5	1215179	1215506
4	1215506	1217419
5	1217419	1221793
4	1221793	1231947
3	1231947	1283805
2	1283805	1291956
3	1291956	1292956
2	1292956	1309735
1	1309735	1314392
2	1314392	1452629
3	1452629	1483131
4	1483131	1574409
4	1574409	1609516
5	1609516	1610047
6	1610047	1617778
7	1617778	1619478
8	1619478	1637358
7	1637358	1639310
8	1639310	1640649
7	1640649	1662463
6	1662463	1674040
5	1674040	1674335
4	1674335	1683586
3	1683586	1697636
2	1697636	1720123
1	1720123	1836883
2	1836883	1849258
1	1849258	2014198
1	2043376	2045793
1	2062347	2109693
2	2109693	2130121
3	2130121	2136826
4	2136826	2145626
5	2145626	2146222
4	2146222	2188917
5	2188917	2194650
4	2194650	2242269
3	2242269	2253748
2	2253748	2300053
1	2300053	2314237
1	2315869	2316935
3	2316935	2322891
4	2322891	2362949
3	2362949	2366114
4	2366114	2370109
3	2370109	2394116
6	2394116	2413982
7	2413982	2436575
8	2436575	2436746
9	2436746	2440254
6	2440254	2441929
7	2441929	2446450
8	2446450	2476248
9	2476248	2477117
10	2477117	2478655
11	2478655	2478865
10	2478865	2480088
8	2480088	2482323
7	2482323	2488309
6	2488309	2488353
5	2488353	2490251
4	2490251	2526431
3	2526431	2527931
2	2527931	2543484
1	2543484	2573419
2	2573419	2573767
3	2573767	2574506
4	2574506	2575495
5	2575495	2576192
4	2576192	2577601
5	2577601	2579130
6	2579130	2579758
5	2579758	2580949
4	2580949	2594341
5	2594341	2598916
4	2598916	2599200
3	2599200	2600428
4	2600428	2604293
3	2604293	2605367
4	2605367	2606129
3	2606129	2607837
4	2607837	2610167
5	2610167	2612535
4	2612535	2612675
5	2612675	2612977
6	2612977	2613499
5	2613499	2613789
6	2613789	2615742
5	2615742	2618697
4	2618697	2619135
3	2619135	2619296
2	2619296	2622864
1	2622864	2723447
1	2795967	2837348
1	3117044	3142453
2	3142453	3207806
3	3207806	3216520
2	3216520	3262923
3	3262923	3265009
4	3265009	3278798
5	3278798	3284282
6	3284282	3284832
5	3284832	3323676
4	3323676	3326060
3	3326060	3358003
4	3358003	3373233
3	3373233	3383352
4	3383352	3392376
5	3392376	3401600
6	3401600	3409387
5	3409387	3412874
4	3412874	3419129
3	3419129	3431124
4	3431124	3437263
5	3437263	3441178
4	3441178	3446731
3	3446731	3476986
4	3476986	3497721
3	3497721	3500493
2	3500493	3538713
1	3538713	3539057
1	3567200	3574901
2	3574901	3645396
1	3645396	3710699
1	3749765	3751122
1	4025643	4027279
